taxon,specimen,ITS
Oxalis_gracilis,Oberlander123,EU436976
Oxalis_grammopetala,Oberlander0156,EU436906
Oxalis_grammophylla,Dreyer670,EU437016
Oxalis_gregaria,Roe1597,JN618532
Oxalis_griffithii,Aoki35,LC206055
Oxalis_grisea,Vaio512,KC602025
Oxalis_gyrorhiza,Heibl02-035,NA
Oxalis_haedulipes,Mucina180903/9,EU436886
Oxalis_hedysarifolia,Almeida1980,OQ623642
Oxalis_hedysaroides,Cornejo10079,Cabral
Oxalis_hepatica,Nuernberg1800,OQ623645
Oxalis_hernandesii,Gardner56,JN618534
Oxalis_herrerae,Emshwiller459,U74269
Oxalis_heterophylla,BayerOberlander0008,EU437018
Oxalis_hirsutissima,Cordeiro987,OQ623646
Oxalis_hirta,Dreyer646,EU436971
Oxalis_hispidula,Vaio44,JN836776
Oxalis_holosericea,HeiblPfanzelt05-025,JN634734
Oxalis_humbertii,Emshwiller604,NA
Oxalis_hyalotricha_subsp_borealis,Melo4854,OQ623648
Oxalis_hyalotricha_subsp_hyalotricha,Cabral170,OQ623647
Oxalis_hygrophila,KumwendaDreyer0001,EU437024
Oxalis_hypsophila,Dreyer805,EU436874
Oxalis_idimae,Richetti70,OQ623652
Oxalis_imbricata,Oberlander0062,EU436896
Oxalis_impatiens,Bilk382a,OQ310878
Oxalis_incana,HeiblPfanzelt05-045,JN634736
Oxalis_incarnata,Emshwiller149,JN618509
Oxalis_inconspicua,Dreyer707,EU436944
Oxalis_inopinata,Fiaschi5544,OR964281
Oxalis_itamarajuensis,Fiaschi4657,OQ310895
Oxalis_itatingae,Fiaschi4472,PQ536098
Oxalis_jacobinensis,Cabral226,PQ536099
Oxalis_jacquiniana,Gardner43,JN618535
Oxalis_jasminifolia,Cornejo9331,Cabral
Oxalis_johnstonii,Heibl01-080,NA
Oxalis_kamiesbergensis,MO592cfkamiebergensis,EU436970
Oxalis_kantoensis,Aoki25,LC206033
Oxalis_knuthiana,Dreyer721,EU436884
Oxalis_kollmannii,Vasques53,PQ536100
Oxalis_kuhlmannii,Fiaschi4662,OQ310880
Oxalis_laciniata,HeiblMunozToro04-047,JN634737
Oxalis_lanata,Dreyer751,EU437027
Oxalis_lasiandra,Gardner69,JN618537
Oxalis_lasiopetala,Vaio87,KX249626
Oxalis_lateriflora,Dreyer651,EU436890
Oxalis_latifolia,Gardner38,JN618539
Oxalis_laxa_var_hispidissima,Heibl02-027,JN634739
Oxalis_laxa_var_laxa,Heibl03-091,JN634738
Oxalis_leonii,Costa122,OQ310892
Oxalis_leptocalyx,Oberlander0076,EU437001
Oxalis_leptogramma,Dreyer617,EU437014
Oxalis_leucolepis,Aoki420,LC206073
Oxalis_lichenoides,Dreyer785,EU436919
Oxalis_linarantha,Wasum3369,JN618508
Oxalis_linearis,Dreyer679,EU436972
Oxalis_livida,Oberlander0078,EU436889
Oxalis_lomana,Gaspar2,Gaspar
Oxalis_longissima,Emshwiller64/247,U74270
Oxalis_loricata,HeiblPfanzelt05-006,JN634741
Oxalis_lotoides,Emshwiller789,NA
Oxalis_louisae,Dreyer708,EU436928
Oxalis_lucumayensis_subsp_lucumayensis,Emshwiller485,NA
Oxalis_lucumayensis_subsp_subiens,Emshwiller289,NA
Oxalis_luteola,Oberlander0026,EU436904
Oxalis_lutzii,Fiaschi5596,Cabral
Oxalis_macrocarpa,Gardner49,JN618556
Oxalis_magellanica,HeiblBotGardenMunich02,JN634742
Oxalis_magnifica,Gardner68,JN618557
Oxalis_mandioccana,Fiaschi4660,OQ310882
Oxalis_martiana,Emshwiller445,U74290
Oxalis_massoniana,Holmes0016,EU437015
Oxalis_matancillae,HeiblMunozToro04-023,NA
Oxalis_medicaginea,Emshwiller809,NA
Oxalis_megalorrhiza,Gaspar173,Gaspar
Oxalis_meisneri,Oberlander0088,EU436993
Oxalis_melanosticta,Dreyer622,EU436901
Oxalis_melilotoides,Emshwiller190,U74271
Oxalis_micrantha,Heibl03-092,JN634744
Oxalis_microcarpa,Cornejo9341,Cabral
Oxalis_minuta_var_minuta,Dreyer727,EU437028
Oxalis_minuta_var_callosa,KumwendaDreyer1,NA
Oxalis_mollissima,Emshwiller359/x415,U74272
Oxalis_monochasiata,Fiaschi4585,PQ536101
Oxalis_monophylla,DreyerOberlander0003,EU436927
Oxalis_monticola,Vaio20,KX249630
Oxalis_morelosii,Perez4856,JN618558
Oxalis_morenoensis,Heibl01-009,JN634745
Oxalis_morronei,LZ204,Lopez
Oxalis_multicaulis,Oberlander0080,EU436998
Oxalis_muscoides,Zuloaga12256,MH220856
Oxalis_nahuelhuapiensis,Pfanzelt227,NA
Oxalis_namaquana,Dreyer713,EU436941
Oxalis_natans,Oberlander0160,EU437009
Oxalis_nelsonii,Gardner66,JN618559
Oxalis_neuwiedii,EMA1336,MH705072
Oxalis_nidulans,Dreyer752,EU437026
Oxalis_niederleinii,Vaio190,KC602018
Oxalis_nortieri,Oberlander0112,EU436914
Oxalis_novemfoliolata,Heibl01-078,NA
Oxalis_nubigena,Emshwiller345,NA
Oxalis_obliquifolia,Bellstedt711,EU436915
Oxalis_oblongiformis,Emshwiller797,NA
Oxalis_obtriangulata,JNU140 ,DQ151555
Oxalis_obtusa,Dreyer691,EU436922
Oxalis_occulta,Fiaschi5058,OQ310894
Oxalis_oculifera,Dreyer799,EU436953
Oxalis_oligophylla,Dreyer797,EU437023
Oxalis_orbicularis,Oberlander0066,EU436899
Oxalis_oregana,Olmstead2003-33,JN159893
Oxalis_oreocharis,Emshwiller583,JN618561
Oxalis_oreophila,Dreyer666,EU436975
Oxalis_ornithopus,HeiblMunozToro04-015,NA
Oxalis_ortgiesii,Emshwiller458,U74273
Oxalis_orthopoda,Oberlander0068,EU436956
Oxalis_oulophora,Emshwiller308,U74274
Oxalis_pachyrrhiza,Weigend8479,JN634747
Oxalis_pallens,Dreyer654,EU436997
Oxalis_palmifrons,Holmes0019,EU437021
Oxalis_paludosa,Vaio479,KC602011
Oxalis_pampeana,Nuernberg1875,OQ623640
Oxalis_paposana,Heibl03-062,JN634748
Oxalis_paranaensis,VaioC2,KC602024
Oxalis_pardoensis,Caxambu5990,Costa
Oxalis_pataxorum,Cabral196,Cabral
Oxalis_paucartambensis,Emshwiller548,NA
