taxon,specimen,ITS,ncpGS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,trnS_trnG,trnT_trnL,Nmarker,Kmarker,duplicate
Oxalis_clavifolia,Oberlander0141,EU436951,NA,NA,NA,NA,EU437090,EU437237,NA,3,TRUE,FALSE
Oxalis_colatinensis,Fiaschi4625,MH705069,NA,NA,MH705090,NA,MH705074,NA,MH705082,4,TRUE,TRUE
Oxalis_commutata,Dreyer606,EU436898,NA,NA,NA,NA,AJ582308,EU437186,NA,3,TRUE,TRUE
Oxalis_comosa,Mucina220901/30A,EU436954,NA,NA,NA,NA,EU437091,EU437240,NA,3,TRUE,FALSE
Oxalis_compacta,Teillier5013,JN634729,NA,JN602086,NA,NA,NA,NA,NA,2,TRUE,TRUE
Oxalis_compressa,BayerOberlander0009,EU436883,NA,NA,NA,NA,EU437046,EU437172,NA,3,TRUE,FALSE
Oxalis_comptonii,Dreyer802,EU436985,NA,NA,NA,NA,AJ582309,EU437272,NA,3,TRUE,TRUE
Oxalis_confertifolia,Oberlander0075,EU437011,NA,NA,NA,NA,EU437118,EU437297,NA,3,TRUE,FALSE
Oxalis_conorrhiza,Vaio175,KC602015,NA,NA,NA,NA,KC602069,NA,KC602096,3,TRUE,FALSE
Oxalis_convexula,Oberlander0014,EU436913,NA,NA,NA,NA,EU437067,EU437201,NA,3,TRUE,FALSE
Oxalis_copiosa,Oberlander0021,EU436887,NA,NA,NA,NA,EU437049,EU437176,NA,3,TRUE,FALSE
Oxalis_cordata,Cabral125,NA,NA,NA,OR099842,NA,OR099868,NA,NA,2,FALSE,FALSE
Oxalis_cornicarpa,Fiaschi5442,OQ310887,NA,NA,OQ296008,NA,OQ296035,NA,NA,3,TRUE,FALSE
Oxalis_corniculata,GardnerS1,KC602004,NA,NA,KC602032,NA,KC602056,NA,KC602085,4,TRUE,FALSE
Oxalis_corymbosa,Aoki16,LC206018,NA,NA,LC206126,NA,LC206340,NA,LC206233,4,TRUE,FALSE
Oxalis_crassipes,Emshwiller463,U74265,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE
Oxalis_cratensis,Vaio404,NA,NA,NA,MH705091,NA,MH705075,NA,MH705083,3,FALSE,FALSE
Oxalis_crocea,Dreyer693,EU436950,NA,NA,NA,NA,AJ582311,EU437236,NA,3,TRUE,TRUE
Oxalis_cuneata,Dreyer791,EU436969,NA,NA,NA,NA,EU437101,EU437255,NA,3,TRUE,FALSE
Oxalis_cuzcensis,Emshwiller532,NA,AF470254,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE
Oxalis_cytisoides,Cabral139,OQ310874,NA,NA,OQ295995,NA,OQ296021,NA,NA,3,TRUE,TRUE
Oxalis_debilis,Vaio62,JN836774,NA,NA,JN836806,NA,JN836760,NA,JN836876,4,TRUE,TRUE
Oxalis_debilis_var_corymbosa,Vaio62,JN836774,NA,NA,JN836806,NA,JN836760,NA,JN836876,4,TRUE,FALSE
Oxalis_debilis_var_debilis,Emshwiller171,JN618521,NA,NA,JN836803,NA,EU437144,NA,JN836873,4,TRUE,TRUE
Oxalis_decaphylla,Rodriguez2610,JN618524,NA,NA,JN836820,NA,JN639559,NA,JN836889,4,TRUE,FALSE
Oxalis_decipiens,Richetti64,PQ536097,NA,NA,PQ585588,NA,PQ585605,NA,NA,3,TRUE,FALSE
Oxalis_densa,Oberlander0169,EU436921,NA,NA,NA,NA,EU437073,EU437209,NA,3,TRUE,FALSE
Oxalis_densifolia,Cabral93,OQ310875,NA,NA,OQ295996,NA,OQ296022,NA,NA,3,TRUE,TRUE
Oxalis_dentata,Cilliers0004,EU436888,NA,NA,NA,NA,AJ582312,EU437177,NA,3,TRUE,TRUE
Oxalis_depressa,Oberlander0085,EU436909,NA,NA,NA,NA,EU437064,EU437197,NA,3,TRUE,FALSE
Oxalis_deserticola,Oberlander0114,EU436939,NA,NA,NA,NA,EU437083,EU437226,NA,3,TRUE,FALSE
Oxalis_diamantinae,Richetti61,OQ623649,NA,NA,OR099851,NA,OR099876,NA,NA,3,TRUE,FALSE
Oxalis_dichotoma,Oberlander0052,EU436893,NA,NA,NA,NA,EU437053,EU437181,NA,3,TRUE,FALSE
Oxalis_dilatata,BayerOberlander0014,EU436910,NA,NA,NA,NA,EU437065,EU437198,NA,3,TRUE,FALSE
Oxalis_dillenii,Walter6565,EU436868,NA,NA,NA,NA,EU437034,EU437157,KC602090,3,TRUE,TRUE
Oxalis_dines,Helme1355,EU436943,NA,NA,NA,NA,EU437085,NA,NA,2,TRUE,FALSE
Oxalis_discolor,Gardner35,JN618525,NA,NA,JN836821,NA,JN639560,NA,JN836890,4,TRUE,FALSE
Oxalis_disticha,Oberlander0159,EU436942,NA,NA,NA,NA,EU437084,EU437229,NA,3,TRUE,FALSE
Oxalis_divaricata,Felix13386,KC602028,NA,NA,KC602055,NA,KC602082,NA,KC602111,4,TRUE,TRUE
Oxalis_divergens,Gardner58,JN618527,NA,NA,JN836822,NA,JN639561,NA,JN836891,4,TRUE,FALSE
Oxalis_dolichopoda,Emshwiller292,U74267,NA,NA,NA,NA,NA,NA,NA,1,TRUE,TRUE
Oxalis_dregei,Mucina210903/11,EU436930,NA,NA,NA,NA,AJ582313,EU437217,NA,3,TRUE,TRUE
Oxalis_droseroides,Oberlander0079,EU436994,NA,NA,NA,NA,EU437111,EU437280,NA,3,TRUE,FALSE
Oxalis_drummondii,Weller965,JN618528,NA,NA,JN836823,NA,JN639562,NA,JN836892,4,TRUE,FALSE
Oxalis_dumetorum,Mihoc7330,JN634731,NA,JN602088,NA,NA,NA,JN627222,NA,3,TRUE,TRUE
Oxalis_duriuscula,Oberlander0082,EU437020,NA,NA,NA,NA,EU437123,EU437306,NA,3,TRUE,FALSE
Oxalis_ebracteata,Dreyer644,EU436990,NA,NA,NA,NA,AJ582314,EU437276,NA,3,TRUE,TRUE
Oxalis_eckloniana,Dreyer628,EU437025,NA,NA,NA,NA,AJ582315,EU437311,NA,3,TRUE,TRUE
Oxalis_engleriana,Oberlander0010,EU436961,NA,NA,NA,NA,AJ582316,EU437247,NA,3,TRUE,TRUE
Oxalis_enneaphylla,HeiblMunozToro04-045,JN634732,NA,JN602089,NA,NA,JN620127,JN627223,JN620092,5,TRUE,FALSE
Oxalis_eriocarpa,Vaio31,KC602020,NA,NA,KC602046,NA,KC602073,NA,KC602100,4,TRUE,TRUE
Oxalis_eriolepis,Emshwiller155,JN618530,NA,NA,JN836824,NA,JN639563,NA,JN836893,4,TRUE,FALSE
Oxalis_erosa,UnknownN,MH705070,NA,NA,MH705092,NA,MH705076,NA,MH705084,4,TRUE,TRUE
Oxalis_erythrorhiza,Zuloaga12781,MH220857,NA,MH998365,NA,NA,NA,NA,NA,2,TRUE,FALSE
Oxalis_exserta,Dreyer686,EU436967,NA,NA,NA,NA,AJ582317,EU437253,NA,3,TRUE,TRUE
Oxalis_fabaefolia,Dreyer721/A,EU436925,NA,NA,NA,NA,EU437075,EU437212,NA,3,TRUE,FALSE
Oxalis_falcatula,Oberlander0096,EU436992,NA,NA,NA,NA,EU437109,EU437278,NA,3,TRUE,FALSE
Oxalis_famatinae,Zuloaga11970,MH220858,NA,MH998374,NA,NA,NA,NA,NA,2,TRUE,FALSE
Oxalis_fenestrata,MO1532,KF154263,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE
Oxalis_fergusoniae,Oberlander0111,EU436912,NA,NA,NA,NA,EU437066,EU437200,NA,3,TRUE,FALSE
Oxalis_fibrosa,Oberlander0051,EU436958,NA,NA,NA,NA,EU437095,EU437244,NA,3,TRUE,FALSE
Oxalis_flagellata,Emshwiller246,NA,AF098982,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE
Oxalis_flava,Dreyer614,EU436924,NA,NA,NA,NA,AJ582318,EU437211,EU437372,3,TRUE,TRUE
Oxalis_flaviuscula,Dreyer701,EU436929,NA,NA,NA,NA,AJ582319,EU437216,NA,3,TRUE,TRUE
Oxalis_floribunda,Vaio358,JN836767,NA,NA,JN836790,NA,JN836758,NA,JN836861,4,TRUE,TRUE
