taxon,specimen,ITS,ncpGS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,trnS_trnG,trnT_trnL
Oxalis_sp_Lopez_unpub2,FOZ12049,1,NA,NA,NA,NA,1,NA,NA
Oxalis_spiralis,FOZ11469,1,NA,NA,NA,NA,NA,NA,NA
Oxalis_spiralis,FOZ11633,1,NA,NA,NA,NA,1,NA,NA
Oxalis_squamata,FOZ12520,1,NA,NA,NA,NA,1,NA,NA
Oxalis_tijucana,Vasques85,1,NA,NA,1,NA,1,NA,NA
Oxalis_umbraticola,Nery91,NA,NA,NA,1,NA,1,NA,NA
Oxalis_valdiviensis,LZ81,1,NA,NA,NA,NA,1,NA,NA
Oxalis_valdiviensis,LZ128,1,NA,NA,NA,NA,1,NA,NA
Oxalis_veadeirosensis,Fiaschi5330,1,NA,NA,1,NA,1,NA,NA
Oxalis_veadeirosensis,Sartor52,NA,NA,NA,1,NA,NA,NA,NA
Oxalis_acetosella,Aoki65,LC206092,NA,NA,LC206199,NA,LC206413,NA,LC206306
Oxalis_acetosella,Aoki67,LC206094,NA,NA,LC206201,NA,LC206415,NA,LC206308
Oxalis_acetosella,Aoki69,LC206096,NA,NA,LC206203,NA,LC206417,NA,LC206310
Oxalis_acetosella,Aoki70,LC206098,NA,NA,LC206205,NA,LC206419,NA,LC206312
Oxalis_acetosella,Aoki172,LC206019,NA,NA,LC206127,NA,LC206341,NA,LC206234
Oxalis_acetosella,Aoki198,LC206022,NA,NA,LC206130,NA,LC206344,NA,LC206237
Oxalis_acetosella,Aoki204,LC206023,NA,NA,LC206131,NA,LC206345,NA,LC206238
Oxalis_acetosella,Aoki210,LC206024,NA,NA,LC206132,NA,LC206346,NA,LC206239
Oxalis_acetosella,Aoki222,LC206026,NA,NA,LC206134,NA,LC206348,NA,LC206241
Oxalis_acetosella,Aoki226,LC206027,NA,NA,LC206135,NA,LC206349,NA,LC206242
Oxalis_acetosella,Aoki233,LC206028,NA,NA,LC206136,NA,LC206350,NA,LC206243
Oxalis_acetosella,Aoki248,LC206031,NA,NA,LC206139,NA,LC206353,NA,LC206246
Oxalis_acetosella,Aoki257,LC206032,NA,NA,LC206140,NA,LC206354,NA,LC206247
Oxalis_acetosella,Aoki263,LC206034,NA,NA,LC206142,NA,LC206356,NA,LC206249
Oxalis_acetosella,Aoki270,LC206035,NA,NA,LC206143,NA,LC206357,NA,LC206250
Oxalis_acetosella,Aoki276,LC206036,NA,NA,LC206144,NA,LC206358,NA,LC206251
Oxalis_acetosella,Aoki282,LC206037,NA,NA,LC206145,NA,LC206359,NA,LC206252
Oxalis_acetosella,Aoki289,LC206039,NA,NA,LC206147,NA,LC206361,NA,LC206254
Oxalis_acetosella,Aoki291,LC206040,NA,NA,LC206148,NA,LC206362,NA,LC206255
Oxalis_acetosella,Aoki293,LC206041,NA,NA,LC206149,NA,LC206363,NA,LC206256
Oxalis_acetosella,Aoki294,LC206042,NA,NA,LC206150,NA,LC206364,NA,LC206257
Oxalis_acetosella,Aoki332,LC206049,NA,NA,LC206157,NA,LC206371,NA,LC206264
Oxalis_acetosella,Aoki347,LC206051,NA,NA,LC206159,NA,LC206373,NA,LC206266
Oxalis_acetosella,Aoki402,LC206059,NA,NA,LC206167,NA,LC206381,NA,LC206274
Oxalis_acetosella,Aoki403,LC206060,NA,NA,LC206168,NA,LC206382,NA,LC206275
Oxalis_acetosella,Aoki410,LC206064,NA,NA,LC206172,NA,LC206386,NA,LC206279
Oxalis_acetosella,Aoki411,LC206065,NA,NA,LC206173,NA,LC206387,NA,LC206280
Oxalis_acetosella,Aoki412,LC206066,NA,NA,LC206174,NA,LC206388,NA,LC206281
Oxalis_acetosella,Aoki415,LC206069,NA,NA,LC206177,NA,LC206391,NA,LC206284
Oxalis_acetosella,Aoki76,LC206103,NA,NA,LC206210,NA,LC206424,NA,LC206317
Oxalis_acetosella,DE0BONN34625,LC206083,NA,NA,LC206190,NA,LC206404,NA,LC206297
Oxalis_acetosella,Aoki447,LC206084,NA,NA,LC206191,NA,LC206405,NA,LC206298
Oxalis_acetosella,Aoki450,LC206086,NA,NA,LC206193,NA,LC206407,NA,LC206300
Oxalis_acetosella,Bouchard89216,LC206111,NA,NA,LC206218,NA,LC206432,NA,LC206325
Oxalis_acetosella,Aoki416,LC206070,NA,NA,LC206178,NA,LC206392,NA,LC206285
Oxalis_acetosella,Emshwiller114,JN603193,NA,NA,JN836783,NA,JN639537,NA,JN836853
Oxalis_corymbosa,Aoki16,LC206018,NA,NA,LC206126,NA,LC206340,NA,LC206233
Oxalis_formosana,Aoki181,LC206020,NA,NA,LC206128,NA,LC206342,NA,LC206235
Oxalis_formosana,Aoki239,LC206029,NA,NA,LC206137,NA,LC206351,NA,LC206244
Oxalis_formosana,Aoki24,LC206030,NA,NA,LC206138,NA,LC206352,NA,LC206245
Oxalis_formosana,Aoki428,LC206078,NA,NA,LC206186,NA,LC206400,NA,LC206293
Oxalis_formosana,Aoki434,LC206079,NA,NA,LC206187,NA,LC206401,NA,LC206294
Oxalis_formosana,Aoki435,LC206080,NA,NA,LC206188,NA,LC206402,NA,LC206295
Oxalis_griffithii,Aoki35,LC206055,NA,NA,LC206163,NA,LC206377,NA,LC206270
Oxalis_griffithii,Aoki44,LC206085,NA,NA,LC206192,NA,LC206406,NA,LC206299
Oxalis_griffithii,Aoki45,LC206088,NA,NA,LC206195,NA,LC206409,NA,LC206302
Oxalis_griffithii,Aoki46,LC206089,NA,NA,LC206196,NA,LC206410,NA,LC206303
Oxalis_griffithii,Aoki61,LC206090,NA,NA,LC206197,NA,LC206411,NA,LC206304
Oxalis_griffithii,Aoki63,LC206091,NA,NA,LC206198,NA,LC206412,NA,LC206305
Oxalis_griffithii,Aoki66,LC206093,NA,NA,LC206200,NA,LC206414,NA,LC206307
Oxalis_griffithii,Aoki68,LC206095,NA,NA,LC206202,NA,LC206416,NA,LC206309
Oxalis_griffithii,Aoki71,LC206099,NA,NA,LC206206,NA,LC206420,NA,LC206313
Oxalis_griffithii,Aoki72,LC206100,NA,NA,LC206207,NA,LC206421,NA,LC206314
Oxalis_griffithii,Aoki83,LC206108,NA,NA,LC206215,NA,LC206429,NA,LC206322
Oxalis_griffithii,Aoki84,LC206109,NA,NA,LC206216,NA,LC206430,NA,LC206323
Oxalis_griffithii,Aoki114,LC206006,NA,NA,LC206114,NA,LC206328,NA,LC206221
Oxalis_griffithii,Aoki119,LC206007,NA,NA,LC206115,NA,LC206329,NA,LC206222
Oxalis_griffithii,Aoki123,LC206008,NA,NA,LC206116,NA,LC206330,NA,LC206223
Oxalis_griffithii,Aoki125,LC206009,NA,NA,LC206117,NA,LC206331,NA,LC206224
Oxalis_griffithii,Aoki130,LC206010,NA,NA,LC206118,NA,LC206332,NA,LC206225
Oxalis_griffithii,Aoki135,LC206011,NA,NA,LC206119,NA,LC206333,NA,LC206226
Oxalis_griffithii,Aoki145,LC206012,NA,NA,LC206120,NA,LC206334,NA,LC206227
Oxalis_griffithii,AokiN,LC206013,NA,NA,LC206121,NA,LC206335,NA,LC206228
Oxalis_griffithii,Aoki151,LC206014,NA,NA,LC206122,NA,LC206336,NA,LC206229
Oxalis_griffithii,Aoki153,LC206015,NA,NA,LC206123,NA,LC206337,NA,LC206230
Oxalis_griffithii,Aoki160,LC206016,NA,NA,LC206124,NA,LC206338,NA,LC206231
Oxalis_griffithii,Aoki166,LC206017,NA,NA,LC206125,NA,LC206339,NA,LC206232
Oxalis_griffithii,Aoki218,LC206025,NA,NA,LC206133,NA,LC206347,NA,LC206240
Oxalis_griffithii,Aoki283,LC206038,NA,NA,LC206146,NA,LC206360,NA,LC206253
Oxalis_griffithii,Aoki303,LC206043,NA,NA,LC206151,NA,LC206365,NA,LC206258
Oxalis_griffithii,Aoki310,LC206045,NA,NA,LC206153,NA,LC206367,NA,LC206260
Oxalis_griffithii,Aoki316,LC206046,NA,NA,LC206154,NA,LC206368,NA,LC206261
Oxalis_griffithii,Aoki322,LC206047,NA,NA,LC206155,NA,LC206369,NA,LC206262
Oxalis_griffithii,Aoki326,LC206048,NA,NA,LC206156,NA,LC206370,NA,LC206263
Oxalis_griffithii,Aoki341,LC206050,NA,NA,LC206158,NA,LC206372,NA,LC206265
Oxalis_griffithii,Aoki396,LC206057,NA,NA,LC206165,NA,LC206379,NA,LC206272
Oxalis_griffithii,Aoki397,LC206058,NA,NA,LC206166,NA,LC206380,NA,LC206273
Oxalis_griffithii,Aoki407,LC206061,NA,NA,LC206169,NA,LC206383,NA,LC206276
Oxalis_griffithii,Aoki408,LC206062,NA,NA,LC206170,NA,LC206384,NA,LC206277
Oxalis_griffithii,Aoki409,LC206063,NA,NA,LC206171,NA,LC206385,NA,LC206278
Oxalis_griffithii,Aoki413,LC206067,NA,NA,LC206175,NA,LC206389,NA,LC206282
Oxalis_griffithii,Aoki445,LC206082,NA,NA,LC206189,NA,LC206403,NA,LC206296
Oxalis_griffithii,Aoki185,LC206021,NA,NA,LC206129,NA,LC206343,NA,LC206236
Oxalis_griffithii,Aoki79,LC206104,NA,NA,LC206211,NA,LC206425,NA,LC206318
Oxalis_griffithii,Aoki80,LC206105,NA,NA,LC206212,NA,LC206426,NA,LC206319
Oxalis_griffithii,Aoki357,LC206053,NA,NA,LC206161,NA,LC206375,NA,LC206268
Oxalis_griffithii,Aoki81,LC206106,NA,NA,LC206213,NA,LC206427,NA,LC206320
Oxalis_griffithii,Aoki82,LC206107,NA,NA,LC206214,NA,LC206428,NA,LC206321
Oxalis_griffithii,Aoki414,LC206068,NA,NA,LC206176,NA,LC206390,NA,LC206283
Oxalis_griffithii,Aoki418,LC206071,NA,NA,LC206179,NA,LC206393,NA,LC206286
Oxalis_griffithii,Aoki419,LC206072,NA,NA,LC206180,NA,LC206394,NA,LC206287
Oxalis_griffithii,Aoki421,LC206074,NA,NA,LC206182,NA,LC206396,NA,LC206289
Oxalis_griffithii,Aoki425,LC206075,NA,NA,LC206183,NA,LC206397,NA,LC206290
Oxalis_griffithii,Aoki426,LC206076,NA,NA,LC206184,NA,LC206398,NA,LC206291
Oxalis_kantoensis,Aoki25,LC206033,NA,NA,LC206141,NA,LC206355,NA,LC206248
Oxalis_kantoensis,Aoki30,LC206044,NA,NA,LC206152,NA,LC206366,NA,LC206259
Oxalis_kantoensis,Aoki106,LC206004,NA,NA,LC206112,NA,LC206326,NA,LC206219
Oxalis_kantoensis,Aoki109,LC206005,NA,NA,LC206113,NA,LC206327,NA,LC206220
Oxalis_kantoensis,Aoki359,LC206054,NA,NA,LC206162,NA,LC206376,NA,LC206269
Oxalis_kantoensis,Aoki38,LC206056,NA,NA,LC206164,NA,LC206378,NA,LC206271
Oxalis_kantoensis,Aoki454,LC206087,NA,NA,LC206194,NA,LC206408,NA,LC206301
Oxalis_leucolepis,Aoki420,LC206073,NA,NA,LC206181,NA,LC206395,NA,LC206288
Oxalis_magellanica,Aoki427,LC206077,NA,NA,LC206185,NA,LC206399,NA,LC206292
Oxalis_oregana,Olmstead2003-33,JN159893,NA,NA,JN836782,NA,NA,NA,JN836852
Oxalis_pes-caprae,Aoki6,LC206097,NA,NA,LC206204,NA,LC206418,NA,LC206311
Oxalis_rosea,Lammers7916,JN603194,NA,NA,JN836784,NA,JN639538,NA,JN836854
Oxalis_spiralis,Aoki85,LC206110,NA,NA,LC206217,NA,LC206431,NA,LC206324
Oxalis_taimonii,Wang4456,LC206081,NA,NA,LC215384,NA,NA,NA,NA
Oxalis_triangulata,Aoki34,LC206052,NA,NA,LC206160,NA,LC206374,NA,LC206267
Oxalis_triangulata,Aoki73,LC206101,NA,NA,LC206208,NA,LC206422,NA,LC206315
Oxalis_triangulata,Aoki74,LC206102,NA,NA,LC206209,NA,LC206423,NA,LC206316
Oxalis_wulingensis,Deng544,JX445132,NA,NA,NA,NA,NA,NA,NA
Oxalis_trillifolia,MO275113,LC368450,NA,NA,LC368452,NA,LC368454,NA,LC368453
Oxalis_densifolia,Cabral93,OQ310875,NA,NA,OQ295996,NA,OQ296022,NA,NA
Oxalis_zamorana,Balslev6515,OQ623657,NA,NA,NA,NA,OR099886,NA,NA
Oxalis_zamorana,Madsen75130,OQ623658,NA,NA,OR099863,NA,NA,NA,NA
Oxalis_alvimii,Fiaschi4597,OQ310870,NA,NA,OQ295991,NA,OQ296017,NA,NA
Oxalis_mandioccana,Richetti29,OQ310885,NA,NA,OQ296006,NA,OQ296033,NA,NA
Oxalis_capixaba,Costa117,OQ310893,NA,NA,OQ296013,NA,OQ296041,NA,NA
Oxalis_sciophila,Costa118,OQ310890,NA,NA,OQ296011,NA,OQ296039,NA,NA
Oxalis_leonii,Costa122,OQ310892,NA,NA,OQ296012,NA,OQ296040,NA,NA
Oxalis_occulta,Fiaschi5058,OQ310894,NA,NA,OQ296014,NA,OQ296042,NA,NA
Oxalis_fruticosa,Fiaschi4658,OQ310877,NA,NA,OQ295998,NA,OQ296024,NA,NA
Oxalis_glaucescens,Felix13539,KC602029,NA,NA,KC602053,NA,KC602083,NA,NA
Oxalis_glaucescens,Melo6630,NA,NA,NA,OR099844,NA,OR099870,NA,NA
Oxalis_alstonii,Vaio413,MH705067,NA,NA,MH705088,NA,EU437129,NA,NA
