taxon,specimen,ITS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,trnS_trnG,trnT_trnL,ncpGS,Nmarker,Kmarker,duplicate
Oxalis_articulata_subsp_articulata,Vaio505,KX249612,NA,KX249662,NA,KX249636,NA,KX249639,NA,4,TRUE,FALSE
Oxalis_articulata_subsp_rubra,Emshwiller146,JN618507,NA,JN836789,NA,EU437147,NA,JN836860,NA,4,TRUE,FALSE
Oxalis_atacamensis,Heibl01-054,JN634724,JN592061,NA,JN587323,JN620121,NA,JN620088,NA,5,TRUE,FALSE
Oxalis_attaquana,Bayer7007,EU436918,NA,NA,NA,EU437071,EU437206,NA,NA,3,TRUE,FALSE
Oxalis_aurea,Dreyer771,EU436935,NA,NA,NA,EU437080,EU437222,NA,NA,3,TRUE,FALSE
Oxalis_aureoflava,Zollitsch61,NA,JN592062,NA,NA,JN620122,NA,NA,NA,2,FALSE,FALSE
Oxalis_barrelieri,Vaio517,KC602027,NA,KC602052,NA,KC602081,NA,KC602107,NA,4,TRUE,FALSE
Oxalis_bela-vitoriae,Fiaschi4606,OQ310871,NA,OQ295992,NA,OQ296018,NA,NA,NA,3,TRUE,FALSE
Oxalis_bifida,Dreyer608,EU437017,NA,NA,NA,AJ582297,EU437303,NA,NA,3,TRUE,TRUE
Oxalis_bifrons_subsp_bifrons,Fiaschi3633,KC602021,NA,KC602047,NA,KC602074,NA,KC602101,NA,4,TRUE,TRUE
Oxalis_bifurca,Bellstedt764,EU436965,NA,NA,NA,EU437100,EU437251,NA,NA,3,TRUE,FALSE
Oxalis_bipartita_subsp_bipartita,Vaio320,JN836778,NA,JN836810,NA,NA,NA,JN836880,NA,3,TRUE,FALSE
Oxalis_bisfracta,Emshwiller232,KC602010,NA,KC602039,NA,KC602065,NA,KC602091,NA,4,TRUE,FALSE
Oxalis_blackii,Costa115,MH705068,NA,MH705089,NA,MH705073,NA,MH705081,NA,4,TRUE,TRUE
Oxalis_blastorrhiza,Dreyer788,EU436974,NA,NA,NA,AJ582298,EU437260,NA,NA,3,TRUE,TRUE
Oxalis_boliviana,Emshwiller310,U74264,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE
Oxalis_bowiei,MO502cfbowiei,EU436895,NA,NA,NA,EU437055,EU437183,NA,NA,3,TRUE,FALSE
Oxalis_brasiliensis,EmshwillerBRAS2,JN618520,NA,JN836798,NA,JN639546,NA,JN836868,NA,4,TRUE,FALSE
Oxalis_bulbocastanum,Heibl01-071,JN634726,JN592063,NA,JN587324,JN620123,NA,JN620089,NA,5,TRUE,FALSE
Oxalis_bullulata,Dreyer792,EU436908,NA,NA,NA,EU437063,EU437196,NA,NA,3,TRUE,FALSE
Oxalis_burkei,Dreyer618,EU437029,NA,NA,NA,AJ582299,NA,NA,NA,2,TRUE,TRUE
Oxalis_burtoniae,Oberlander0031,EU437008,NA,NA,NA,AJ582300,EU437294,NA,NA,3,TRUE,FALSE
Oxalis_caerulea,Gardner39,JN618517,NA,JN836800,NA,JN639548,NA,JN836870,NA,4,TRUE,FALSE
Oxalis_caesariata,Fiaschi5273,1,NA,1,NA,1,NA,NA,NA,3,TRUE,TRUE
Oxalis_caesia,Heibl02-012,JN634727,JN602084,NA,JN587325,JN620124,JN627221,JN620090,NA,6,TRUE,FALSE
Oxalis_calachaccensis,Emshwiller880X,KC602009,NA,KC602038,NA,KC602063,NA,NA,NA,3,TRUE,FALSE
Oxalis_callosa,Oberlander0120,EU436973,NA,NA,NA,EU437103,EU437259,NA,NA,3,TRUE,FALSE
Oxalis_camelopardalis,Oberlander0071,EU437012,NA,NA,NA,EU437119,EU437298,NA,NA,3,TRUE,FALSE
Oxalis_campicola,Dreyer780,EU436981,NA,NA,NA,AJ582301,EU437267,NA,NA,3,TRUE,TRUE
Oxalis_campylorrhiza,Dreyer696,EU436947,NA,NA,NA,AJ582302,EU437233,NA,NA,3,TRUE,TRUE
Oxalis_capillacea,Dreyer625,EU437013,NA,NA,NA,AJ582304,EU437299,NA,NA,3,TRUE,TRUE
Oxalis_capixaba,Costa117,OQ310893,NA,OQ296013,NA,OQ296041,NA,NA,NA,3,TRUE,TRUE
Oxalis_caprina,DreyerOberlander0001,EU436892,NA,NA,NA,AJ582305,EU437180,NA,NA,3,TRUE,TRUE
Oxalis_cardenasiana,Wood22331,JN618519,NA,JN836799,NA,JN639547,NA,JN836869,NA,4,TRUE,FALSE
Oxalis_cathara,MO582cathara,EU436931,NA,NA,NA,EU437077,EU437218,NA,NA,3,TRUE,FALSE
Oxalis_idimae,Vasques78,1,NA,1,NA,1,NA,NA,NA,3,TRUE,FALSE
Oxalis_cerradoana,Cabral259,1,NA,1,NA,1,NA,NA,NA,3,TRUE,FALSE
Oxalis_cf_alstonii,Cabral273,1,NA,1,NA,1,NA,NA,NA,3,TRUE,FALSE
Oxalis_cf_canaliculata,BayerN,EU436946,NA,NA,NA,EU437088,EU437232,NA,NA,3,TRUE,FALSE
Oxalis_cf_helicoides,Dreyer688,NA,NA,NA,NA,AJ582306,NA,NA,NA,1,FALSE,FALSE
Oxalis_cf_melilotoides,Emshwiller190,NA,NA,NA,NA,NA,NA,NA,AF470245,1,FALSE,FALSE
Oxalis_cf_neuwiedii,Rhoden8,1,NA,1,NA,1,NA,NA,NA,3,TRUE,FALSE
Oxalis_cf_peduncularis,Emshwiller850,NA,NA,NA,NA,NA,NA,NA,AF470263,1,FALSE,FALSE
Oxalis_cf_pulvinata,MO576cfpulvinata,EU436926,NA,NA,NA,EU437076,EU437213,NA,NA,3,TRUE,FALSE
Oxalis_cf_tragopoda,MO490cftragopoda,EU436897,NA,NA,NA,EU437057,EU437185,NA,NA,3,TRUE,FALSE
Oxalis_cf_tuberosa,Emshwiller259,NA,NA,NA,NA,NA,NA,NA,AF470274,1,FALSE,TRUE
Oxalis_chachahuensis,MartinezCarretero1570,MH220862,MH998371,NA,NA,NA,NA,NA,NA,2,TRUE,FALSE
Oxalis_ciliaris,Dreyer613,EU436979,NA,NA,NA,AJ582307,EU437265,NA,NA,3,TRUE,TRUE
Oxalis_ciliata,Cabral124,NA,NA,OR099841,NA,OR099867,NA,NA,NA,2,FALSE,FALSE
Oxalis_cinerea,Heibl03-095,JN634728,JN602085,NA,NA,JN620125,NA,JN620091,NA,4,TRUE,TRUE
Oxalis_cipoensis,Costa110,1,NA,1,NA,1,NA,NA,NA,3,TRUE,TRUE
Oxalis_clavifolia,Oberlander0141,EU436951,NA,NA,NA,EU437090,EU437237,NA,NA,3,TRUE,FALSE
Oxalis_colatinensis,Fiaschi4625,MH705069,NA,MH705090,NA,MH705074,NA,MH705082,NA,4,TRUE,TRUE
